FilePath,SizeBytes,SizeMB,Height,Width,Bands,MinVal,MaxVal,NaNPercent,Status
data\raw\chirps\MFPIT_raw_chirps_2022-01.tif,24267,0.02,502,279,1,0.00,98.45,0.00%,VALID
data\raw\chirps\MFPIT_raw_chirps_2022-02.tif,9882,0.01,502,279,1,0.00,16.84,0.00%,VALID
data\raw\chirps\MFPIT_raw_chirps_2022-03.tif,12625,0.01,502,279,1,0.00,28.02,0.00%,VALID
data\raw\chirps\MFPIT_raw_chirps_2022-04.tif,14128,0.01,502,279,1,0.00,16.91,0.00%,VALID
data\raw\chirps\MFPIT_raw_chirps_2022-05.tif,5027,0.00,502,279,1,0.00,8.52,0.00%,VALID
data\raw\chirps\MFPIT_raw_chirps_2022-06.tif,36262,0.03,502,279,1,0.00,40.34,0.00%,VALID
data\raw\chirps\MFPIT_raw_chirps_2022-07.tif,31275,0.03,502,279,1,0.00,589.70,0.00%,VALID
data\raw\chirps\MFPIT_raw_chirps_2022-08.tif,31798,0.03,502,279,1,0.00,389.95,0.00%,VALID
data\raw\chirps\MFPIT_raw_chirps_2022-09.tif,34198,0.03,502,279,1,0.00,179.86,0.00%,VALID
data\raw\chirps\MFPIT_raw_chirps_2022-10.tif,2540,0.00,502,279,1,0.00,0.00,0.00%,VALID
data\raw\chirps\MFPIT_raw_chirps_2022-11.tif,9163,0.01,502,279,1,0.00,27.91,0.00%,VALID
data\raw\chirps\MFPIT_raw_chirps_2022-12.tif,4443,0.00,502,279,1,0.00,15.85,0.00%,VALID
data\raw\dem\MFPIT_raw_dem_static.tif,100115,0.10,502,279,1,-2.00,2066.00,0.00%,VALID
data\raw\dem\MFPIT_raw_slope_static.tif,286917,0.27,502,279,1,0.00,26.04,0.00%,VALID
data\raw\jrc_occurrence\MFPIT_raw_jrc_occurrence_static.tif,168171,0.16,502,279,2,0.00,100.00,0.00%,VALID
data\raw\jrc_water\MFPIT_raw_jrc_water_2022.tif,36269,0.03,502,279,1,0.00,3.00,0.00%,VALID
data\raw\modis_et\MFPIT_raw_modis_et_2022-01.tif,170349,0.16,502,279,1,-3.00,1143.00,0.00%,VALID
data\raw\modis_et\MFPIT_raw_modis_et_2022-02.tif,168404,0.16,502,279,1,-10.00,1536.00,0.00%,VALID
data\raw\modis_et\MFPIT_raw_modis_et_2022-03.tif,126016,0.12,502,279,1,-47.00,491.00,0.00%,VALID
data\raw\modis_et\MFPIT_raw_modis_et_2022-04.tif,61378,0.06,502,279,1,-56.00,625.00,0.00%,VALID
data\raw\modis_et\MFPIT_raw_modis_et_2022-05.tif,74869,0.07,502,279,1,-11.00,1276.00,0.00%,VALID
data\raw\modis_et\MFPIT_raw_modis_et_2022-06.tif,120114,0.11,502,279,1,0.00,1151.00,0.00%,VALID
data\raw\modis_et\MFPIT_raw_modis_et_2022-07.tif,142184,0.14,502,279,1,0.00,1041.00,0.00%,VALID
data\raw\modis_et\MFPIT_raw_modis_et_2022-08.tif,166221,0.16,502,279,1,0.00,1178.00,0.00%,VALID
data\raw\modis_et\MFPIT_raw_modis_et_2022-09.tif,179723,0.17,502,279,1,0.00,1713.00,0.00%,VALID
data\raw\modis_et\MFPIT_raw_modis_et_2022-10.tif,146944,0.14,502,279,1,0.00,830.00,0.00%,VALID
data\raw\modis_et\MFPIT_raw_modis_et_2022-11.tif,159192,0.15,502,279,1,0.00,909.00,0.00%,VALID
data\raw\modis_et\MFPIT_raw_modis_et_2022-12.tif,162774,0.16,502,279,1,0.00,842.00,0.00%,VALID
data\raw\sar\MFPIT_raw_sar_2022-01.tif,2109064,2.01,502,279,2,-30.61,6.38,0.00%,VALID
data\raw\sar\MFPIT_raw_sar_2022-02.tif,2109590,2.01,502,279,2,-28.75,6.43,0.00%,VALID
data\raw\sar\MFPIT_raw_sar_2022-03.tif,2109514,2.01,502,279,2,-28.54,5.96,0.00%,VALID
data\raw\sar\MFPIT_raw_sar_2022-04.tif,2111273,2.01,502,279,2,-27.25,6.40,0.00%,VALID
data\raw\sar\MFPIT_raw_sar_2022-05.tif,2111634,2.01,502,279,2,-28.58,6.94,0.00%,VALID
data\raw\sar\MFPIT_raw_sar_2022-06.tif,2111976,2.01,502,279,2,-27.12,6.04,0.00%,VALID
data\raw\sar\MFPIT_raw_sar_2022-07.tif,2111531,2.01,502,279,2,-28.43,6.50,0.00%,VALID
data\raw\sar\MFPIT_raw_sar_2022-08.tif,2109980,2.01,502,279,2,-27.95,5.79,0.00%,VALID
data\raw\sar\MFPIT_raw_sar_2022-09.tif,2109293,2.01,502,279,2,-28.92,7.06,0.00%,VALID
data\raw\sar\MFPIT_raw_sar_2022-10.tif,2108932,2.01,502,279,2,-29.61,6.69,0.00%,VALID
data\raw\sar\MFPIT_raw_sar_2022-11.tif,2109438,2.01,502,279,2,-29.33,6.54,0.00%,VALID
data\raw\sar\MFPIT_raw_sar_2022-12.tif,2108885,2.01,502,279,2,-29.40,6.86,0.00%,VALID
data\raw\sentinel2\MFPIT_raw_sentinel2_2022-01.tif,2036413,1.94,502,279,6,0.00,5943.00,0.00%,VALID
data\raw\sentinel2\MFPIT_raw_sentinel2_2022-02.tif,2033822,1.94,502,279,6,0.00,7655.50,0.00%,VALID
data\raw\sentinel2\MFPIT_raw_sentinel2_2022-03.tif,2062411,1.97,502,279,6,0.00,7973.00,0.00%,VALID
data\raw\sentinel2\MFPIT_raw_sentinel2_2022-04.tif,2031676,1.94,502,279,6,144.00,8796.50,0.00%,VALID
data\raw\sentinel2\MFPIT_raw_sentinel2_2022-05.tif,2022647,1.93,502,279,6,439.00,8960.50,0.00%,VALID
data\raw\sentinel2\MFPIT_raw_sentinel2_2022-06.tif,2002416,1.91,502,279,6,324.00,8232.00,0.00%,VALID
data\raw\sentinel2\MFPIT_raw_sentinel2_2022-07.tif,1209741,1.15,502,279,6,0.00,14116.00,0.00%,VALID
data\raw\sentinel2\MFPIT_raw_sentinel2_2022-08.tif,1571869,1.50,502,279,6,0.00,21017.00,0.00%,VALID
data\raw\sentinel2\MFPIT_raw_sentinel2_2022-09.tif,2021037,1.93,502,279,6,0.00,6823.00,0.00%,VALID
data\raw\sentinel2\MFPIT_raw_sentinel2_2022-10.tif,2046988,1.95,502,279,6,0.00,6665.00,0.00%,VALID
data\raw\sentinel2\MFPIT_raw_sentinel2_2022-11.tif,1994925,1.90,502,279,6,0.00,6615.50,0.00%,VALID
data\raw\sentinel2\MFPIT_raw_sentinel2_2022-12.tif,1986500,1.89,502,279,6,0.00,7398.00,0.00%,VALID
data\raw\terraclimate\MFPIT_raw_terraclimate_2022-01.tif,92714,0.09,502,279,4,0.00,279.00,0.00%,VALID
data\raw\terraclimate\MFPIT_raw_terraclimate_2022-02.tif,87265,0.08,502,279,4,0.00,327.00,0.00%,VALID
data\raw\terraclimate\MFPIT_raw_terraclimate_2022-03.tif,88746,0.08,502,279,4,0.00,393.00,0.00%,VALID
data\raw\terraclimate\MFPIT_raw_terraclimate_2022-04.tif,86367,0.08,502,279,4,0.00,433.00,0.00%,VALID
data\raw\terraclimate\MFPIT_raw_terraclimate_2022-05.tif,85207,0.08,502,279,4,0.00,465.00,0.00%,VALID
data\raw\terraclimate\MFPIT_raw_terraclimate_2022-06.tif,86887,0.08,502,279,4,0.00,455.00,0.00%,VALID
data\raw\terraclimate\MFPIT_raw_terraclimate_2022-07.tif,84393,0.08,502,279,4,0.00,404.00,0.00%,VALID
data\raw\terraclimate\MFPIT_raw_terraclimate_2022-08.tif,90172,0.09,502,279,4,0.00,394.00,0.00%,VALID
data\raw\terraclimate\MFPIT_raw_terraclimate_2022-09.tif,96011,0.09,502,279,4,0.00,401.00,0.00%,VALID
data\raw\terraclimate\MFPIT_raw_terraclimate_2022-10.tif,97092,0.09,502,279,4,0.00,389.00,0.00%,VALID
data\raw\terraclimate\MFPIT_raw_terraclimate_2022-11.tif,96680,0.09,502,279,4,0.00,354.00,0.00%,VALID
data\raw\terraclimate\MFPIT_raw_terraclimate_2022-12.tif,96189,0.09,502,279,4,0.00,312.00,0.00%,VALID
